measurement,mean_cm,std_cm
ankle,22.878127027178344,1.5574202868447695
arm-length,47.23587642253701,2.538299073306366
bicep,29.053063755437197,4.748641841292333
calf,36.465143336682516,3.245632969690897
chest,97.54573839747773,12.685269750119634
forearm,24.772045516613247,2.4933978960582746
height,164.64505144802317,6.845002916545421
hip,101.74345420402517,11.608386884509933
leg-length,75.39127964837549,4.349811631072017
shoulder-breadth,33.32790849761301,1.8109520095055451
shoulder-to-crotch,60.510257541320875,2.8362965786630907
thigh,53.93206392758545,6.661057458550634
waist,84.66997455752916,13.144124600759914
wrist,15.78723464933913,1.2947868404775424
