subject_id,gender,height_cm,weight_kg
6JfuBS-duD_BLzV6gxsQjcPc7gv6mgQBTuNzdnp6gfA,female,159.0,87.2
6Xz1aGZP_g084xrBEy0UYJjzozZhj3G1wx_cFS9q-UM,female,163.0,81.45
hjG7-UJ-SuVAgiJ3WEgKdS2nc7fAwQ7iXJCP5oS9omg,female,169.0,84.2
7Grk1NNK3XYiCjt1lfobViSPIzrXCiOADVp7vvhCa_k,female,154.7,70.6
9T0rg9AnasRkTw_sUPRRI-9rcZNFxv71DT1dMqY8UGA,female,161.95,73.7
6PTzEsHtIS7BmBGKDa9YNJNB__vpQwsxFrKi3EF_d2Q,female,177.9,50.7
59bc2761681516389ccf438a,female,158.0,65.9
RiUtVC888GhxiPPvh_EVBY5JLaXi5qWWK94tkNVeHbY,female,168.05,72.2
NUDNE9WoUBzxlMEe1LQa4gz-xUGpIFbXnDs2eW3NJhI,female,182.55,79.7
95mZGlSSMrgK7GkSX_xfx_jAMlgsojYhlbOIhxdGoVE,female,167.45,69.5
Ukvlhaesp0m8DIMdAx9QT2HPOrNbrOsz88AuMsOveXc,female,166.95,69.05
DF_TvDglB-jDlNiMHqrOyzMLB4dvQwkwFp_WEpXc5Yg,female,167.85,68.9
Ajn0E-3juN47I6dkxaN3TiP_VVDioqI5OEBdFop48tI,female,165.9,65.4
pKKAZWxojdBbyA2c8wfgdxHnCNqVypehWNiBlKx-iLM,female,154.2,42.85
-JtWlHEvrLPWagPaAhm0eQ_UKMSg8By1yoe-SkdrKSs,female,160.9,61.95
an68KPiV2AF5miGBG1uFJ5V62AqEkVCvmv_4UhvMmk0,female,162.85,48.85
RdU37isT98Jr1e9DqgrjHCl5gBYI1lDJtt7n7QdhFr4,female,158.1,59.85
6xSAqvQy_Z-Us1pkj_VDz5A-AZaIveMqaVDT-zuO-nE,female,170.6,66.8
TlIG_3sXZLuH7T9nQMivDNnzJn4fFYQy1P0KqC3ldUQ,female,163.2,61.7
a0iE7PPHJxEy8GXFpMtwTdy5QNfOL8F8oB1XDoNi7jI,female,166.2,63.65
59bc2764681516389ccf44a5,female,167.5,64.1
fH5Ar9JCMOjv0J61UJlT-PnhGh6R2Z3xWHFldJ7I8a8,female,165.4,54.0
_HHaGa0t2JffDt5OlyfmnroNlgj2vxmp2_MlA7uarDU,female,169.5,56.85
JQdy-88z-nwoTsWK0MBddftPtzxSNC6pxN7Iel4oScQ,female,167.05,62.4
PIZ1cRaUw7gN2AHaIaE6UPVAnuAq-6LR04I9pkj6FLo,female,174.0,66.55
5a1c4633e7cb790004827642,female,158.0,50.05
pdCgKful2WPOp1lYfGfHxhfjqK0cHU5DxC-WsJHAqvc,female,174.2,61.0
59bc2763681516389ccf445b,female,163.8,59.2
59bc2766681516389ccf4570,female,165.1,59.6
59bc2760681516389ccf4304,female,146.4,47.4
59bc276f681516389ccf48d4,female,167.8,57.9
fKDrVNXxjZ9Y9A-iLCwppvYitS4zHXPB8Oa-W523kXQ,female,167.25,57.6
fUgWXoKIlc4DVwm0UIqSDLRA9WtjI5dhoo7OyzMvf2g,female,170.6,60.3
gfOnViSX9AGNiNRSILjuf5pri_P9P7f3ss5RgKIN364,female,154.45,49.55
SJ47wUVOSH7IsveBnaFMvOhunNN_vK-Q0JxKIYsBDBA,female,155.6,50.6
Emel-lHVBvlLuD5uIvHVc3k8-1jsv0Uad9NRjsjrkKQ,female,164.5,56.7
qR6MuUrdeXdoHbvy6y-uc78PRQe1wUvQ0AB2O80PIx8,female,165.45,57.4
59bc275f681516389ccf42ec,female,161.0,55.0
59bc275c681516389ccf41b9,female,172.5,111.5
59bc275a681516389ccf40e1,female,172.1,111.1
59bc2764681516389ccf44b8,female,175.55,106.05
