subject_id,gender,height_cm,weight_kg
ikt5hpg4u--nWYDSMAfZXOVZhhah-YtX7p6p7q8Hg6I,female,174.0,56.7
oMdk3OxkzuvOn1WINMez5L4rfCmYscyZlkWoMw3Y8J8,female,160.0,62.5
O5SXSso26InqB8u8nVz1HqKx_QfzDDR4OKZGAXYO878,female,154.8,77.4
o0zjtk8Whbm9Pf77k6cVPACb4bL6zCwFw0Byny04B-Y,female,155.1,50.1
OvyEaZuMCNilPx5t1XZqZZLSW-86CWI51q7cDZFHqCk,female,161.5,81.3
4QBR34Xt4joslUTlYKpR0cRqjd3xWW4r3-BQBDxTTzo,female,170.0,76.0
YIo9tBpN-5zvDMu_wB9S-wsjLnXi8iX2PrvTV67S0TQ,female,155.1,73.8
5pSIIWpKbkRc51xX68ZYZFe1n1nViHZm_2Cep8keaow,female,151.0,44.7
w1-o7ZTIxV1_Ny-2JD9HhO1vMWfa1rDq7m4tMKBb6is,female,168.5,72.8
59bc275b681516389ccf413e,female,162.0,106.4
SuHT4VFjz3c-u5kPENTxcyiiIfbmuY54LLExUy_fGm4,female,159.2,59.8
VvD4Ax4aSvkvxGqw-87OJhQBUwh1M8gRJ9hrT30tdig,female,162.0,68.0
Qoex7Nn4NUcDKndMUpAxaK3YZp3Ld53G5rXWai6ogBQ,female,162.0,48.8
vwclMeCf6yVTZohEHBar99joiWwKKky7-8CN5dqG86E,female,166.5,59.1
c2wRe4_1XQ8SgSyvdQ1q_3dSqL1z6UENXH7995g_JcM,female,156.0,57.9
C4eUasGyUmouxCn3dW_VQGEmcQZq2H1iQewpHcAnpY4,female,170.0,111.6
5TM9fQDmC20gmmXZuGLU0ucsepZRpx_SI-cW_afGpuk,female,171.0,104.7
59bc2765681516389ccf4506,female,165.9,71.6
_ovr03EQ9z5Yb7WgWcF-GvQ1NGf6WISE41AdeKpPUHA,female,162.5,64.8
w1S9C2SVqoRaq78o9aRcm2V2EQgZM8QKNKon8CGQlqw,female,165.0,55.0
Ylq97JrtAQT98-f2DO2SS8hFakH_M0wum2bLEq05Rts,female,166.5,66.0
nwAfc1j85ArcxylcM7R3QrbLOO7U9nq511DysV5fztA,female,170.6,63.5
v3ClQb9YrQhd827TorO4lK6E0tXA7FdnOJWrVrfLSWw,female,162.0,64.3
zCYO_1v9_1cSq5-zjqKoPweA8AOYYRDZaaggWwktp14,female,164.0,52.5
Wki2pz6WfQdOY9ksDG0Z-f2NId6V-bGffuo12oubG6Y,female,154.0,52.3
G_BvRqeilfd-QcsunGbp420g3hBQUozky4eae3q-aWU,female,167.2,55.1
YBu9EUNDHErCipT3oBRk0DJLU3ckB3du_10pnb_Bcto,female,156.0,47.6
0TB8jga-bvUKDzamFAMxKP2Wi5FZbz4CjoDbaJR5rL0,female,161.0,65.4
dvjGm4-TJHm2M9vd8Pz8yfzM6iMUytUB_WwBVu3oP6o,female,158.0,62.7
1AJevVtpMGE2aHjT-G-uV1tCgLvUtogrEeOXGtYr6lU,female,166.6,46.0
lj_E0rjQIchHtS8Fo5tbDSR2pwF0GWPTCc0wJxdz8Pk,female,148.9,79.1
ODuK-nE1GXeZcIl0NeN_jBxCzTMZpnBnOTcnOmFntOg,female,167.5,91.1
vzqB2fio0A12TbuTFf9yA1x4WXQ3iLVjrZGB48I1Fek,female,163.0,62.4
SIHAb6fgQDObq-GM6uTbh6snDvVmC0A2B-GKzkEUssI,female,163.5,96.1
mrJrmDWqztxtflUdZLjP22a4Zc3BmKrenkQbNvvUY48,female,167.64,81.6
mNmNJAO5YfrQkqGe_gEMVbmpSzq3NOffDz3VbzAfnbQ,female,159.2,57.1
1THGPmtU9KHCGD7ez1tG3OzJ8mhohHH54gB7AHMtZWE,female,157.0,63.6
PZChhSxVuyO9f5UK6WhnoQBCrQvCG0QpFcT8l26ygZY,female,157.5,50.1
IGrg9yndQwo4NQP8Y6-gMZOXHdE6vlEDIlS4G6baKPs,female,158.5,61.2
Vu3CEIT1WYp4K9S2HWJ3qzqZLWD4PST3jbsITykDpQU,female,158.5,51.7
cTfAPRBOZ-XM_N5yTgv5klsdslP7k3shffq5KzfSs3w,female,168.5,60.8
RBvdQf0N8v_cb7bIkfAnJ4-ePj2_0qzlApAcHXvDly0,female,179.8,65.7
BDQE9C49TtoYtPGOLcINdrufHgoGZpGuMUFJ_StZPMo,female,150.9,59.8
z-W3VNHWddUvT2Q6UkY1YWz4bFV3UGmxWW3dKksNMmY,female,163.2,47.2
bb50fznydqH1fgzmFijGcaLtYv0A7rthQQCCTGRlJU8,female,164.5,59.8
5xqxW4siwJ2JZjsvbGnX4hArqM9rUT1yaya6ceEmzBQ,female,163.0,54.0
GnIrZIVkkbdXzkDmCry74cxFi4LIWwl2S44x5a8_DKI,female,168.5,68.6
BES8fhGYi5ZlydfdUwF42mpmtZ_7LBx9QrQgIVXm9M0,female,167.1,76.6
Na63kNYZzrEHInX4Pld0pc-1FmUsWwHvzJI7w_Srtgc,female,148.6,61.8
QJfMd225tzMV8XFrpwqTEYK9xUXkIkXXVbtrtU6D2HM,female,155.0,60.4
uTY5FBgjLxijNJB_uG9Phgf0RqpZGA9waXkl3cUZZOU,female,155.7,85.7
yJUrBXGs72HhyPUsNfLJO5teaG5VR0-Wz-fCZW-L680,female,162.0,47.0
KLTrZbpVfBq8gREmwKKoefd9owIgDVeQsTFxMu210NY,female,163.0,81.5
17dftzvsFs0G2o7C68pLFPFXDCFUoq3Ly0JItV_LAxE,female,165.3,51.7
F6wa6igx2BT2MGn7VoI_6_P7iJ-Nwqb2kRl690PpyFc,female,155.7,50.2
dGkbbUHmDrosO26yS6FqQgUpR8McngfEQJrRtKnfnvg,female,159.5,56.7
w0K2f8Ydmh7_1N0VxeIBKUnmvETZCTouvGfziitms5Q,female,155.1,64.8
oN2-idLw7Rm54q36EAA_1Jt1wJ2xzi-EzFiKcIZaayE,female,163.5,59.1
B0WEf1gfS0toyENhLbi508wjdezEnB4VWUvueSUoYwg,female,155.1,60.3
cJhdSENkbMN0ZodggBK38f_kZJGZqkGPADVwcEohI8I,female,164.59,52.1
T5_1Ztx0qIBb3WNgY74c1ifECdjCEAQymJC7rNUFTQk,female,168.0,103.9
XbMFI5UdatecXydKy7zmrbNYVzDC0U5pFiTbcW1--V0,female,169.5,59.1
rbLZ3JoX6YEvQ_gQ5Byu4y_HfwlX7udlhLGZr5tDMAc,female,171.0,71.7
ADrQjvM6I-RSGe0_27H4bVrFMcLz3-ZgOX_iDb2D7Wc,female,169.0,125.0
cPc0TYYxwjT9EmZKXpwFPnjcFFeZTveIrwhAcTXKHFA,female,164.0,56.3
q08r7gS_ZvdJRTZ95a2G-2gWaLlDLF2zXWoG9uxP77E,female,145.0,50.0
K20rwey6FcUr2WrbkeJ87KkUW2q6L0-wgR6JT5iy-G4,female,159.0,61.7
oXJXeWQCkZ6XQPEADaiAImvFuO4e55ImBKrpZUlNqLc,female,160.5,50.5
cED5o2sIjQfsgJA9c6wvxhsUTnQz6ZoqcwJCmQjnhJs,female,169.0,94.7
KtiQ4nZ6b6n5IHWApFokgzkKfpj5MtzxGsOKBS2zwlQ,female,164.0,59.0
pSd0beSmYvV1UqS-Fj0IG1DyKzuQ7nlB5O_2BvotvX4,female,169.8,63.8
vH4d2L_hLSPylpEzrjN_HUFZ4eJEeJosXMfbaM-5lsk,female,167.6,62.5
hMKcIQojYeupT1_PWjV6XDlmsn_7mNWQmRChPzjIJcg,female,171.5,63.1
hX65CmXWMoDEXceked4Bz4ft0eujzDmHJMUM8TcVvdo,female,164.6,89.4
nY_tYlRMcPO6BiPSsGT7U7CVrJwG98ZfVdZuj-Xj0s8,female,163.5,58.7
DkMNvQQUXi62EQtW1lBt3tXvl-Jmg8M1-aBUYc6z1vc,female,152.6,55.3
WgNsALoT75d8UikD0pyojUzeliyP0cG_O8JvuDf6Byw,female,165.5,61.3
qonjbwPDaE7YGZe6LpVQJSuWiZ-n3ttgMF3mNrqoKx4,female,177.0,49.1
Y1VSDdyurSCt7P0e4BqTrw0C6w-BJdWDXjCnDF_ba3M,female,161.0,71.1
Z7Y5H8Rs3VwpYnrh_ldrvbf7YQsSmG6JuaeOjQP96zE,female,172.5,56.2
26gnWpM3ws3ugDnBWRUn014NPtZIw28y1W6lZHSpRk4,female,165.5,60.6
ylbrWq_zykq1nB1Ru7nrQQ5CRnVtK4551CECb51_Pzk,female,156.5,51.7
XAfhSHKVLh1TufsAmAgv7vKa7lmbjgXwP90BMR0za2Y,female,173.7,130.1
qzBByobQQSjIWJl4xB_8P8RdEXgdoa1N429Qk6rmOzw,female,163.7,44.7
wKgllBySGRgqwQEV0Ty5QLsq45EviD8GB1ssvdbrpFM,female,172.0,75.5
Y4e2uNX2mIJuMc8kJ-D3b3HgQehD6dXSBwqCeGMjB6k,female,167.6,56.6
bRUIY6tfqp0SRzqphFRQ0wV5IG7CaVsT6USBUip-3xU,female,161.5,62.0
q6ig-2R6NfsMqvwKFixtgth6Vr2OE2s_MBsJR_a_7QA,female,172.0,50.8
_Gqw-g6nwnBszeu-RoTbJOpr51jf7a4nPhWYHGBO3j0,female,159.5,80.4
sz5sjW6rK1Gay3i2X85fGHu0FYbSh7b8q9BcKNpMq4k,female,164.5,56.2
rF5hMzRNGQQd2t2NMAdPO0puaVfSbW4WLllam0oItto,female,173.7,58.0
VdspwHpdezYz_ZH-2zjnQS37EeaVEWdgicBUYk-U6CM,female,161.3,47.8
pCtBcyQpIqGHleYiYqjTjmAMDTnblvQxDCuAOhgDCpo,female,166.0,72.7
9EaimZrRMF80lcFWZgOgL10d8T21DT0ZJ5fWTxjNYbo,female,155.0,94.9
TlIG_3sXZLuH7T9nQMivDNnzJn4fFYQy1P0KqC3ldUQ,female,168.0,62.0
