subject_id,gender,height_cm,weight_kg
AhfyGaD1BKo0-u6PeQk2oI-Bw5l0XxpAqNroFuZuy0I,female,160.0,92.4
E8tDQ5IgdBwbjLIXu7GwcupEHYbi0eB18YNcsgsSbP8,female,175.75,102.8
fkq68ww6bdyKT16FavI1x_G-u7YZ9SoT1GNMUTSJUek,female,161.6,93.0
7MvJ6pMSwyNUqLhEgn6cZlVZutLryVZVL9vZrfYBCr4,female,168.5,97.6
SDeiJFKVmRceC3qDqcpQTyDnNDOrSB2SriupQya166k,female,161.2,92.45
ovNyxkRrq34hkn8P45dbvUPCZg6t3Qb6Iphtrxeqd1Y,female,172.4,99.8
HYLKMpRR-ZZA0GvRtRs5stQ0mPS1AmH92glIqg1DLpo,female,158.7,90.6
kJbq4rY7KCtD0ik0QWdzgPTcAAt4SXHnOOMEstRxGQw,female,168.9,97.2
oenot-0aaDdOZghQnGD7HJUBTM0mLIfdHyxN_IsrTCU,female,166.1,95.3
P7Fj7Yam-B8N2UIU2PCCVq3wZNCVx43pbvCaLr6Jahk,female,171.5,98.5
8OXGiJTp2phyVALrYrdH0lvVu-3sEjUHY-TGGXvwHNg,female,156.5,88.3
VdIFFZDkEosz7ovVl1I36Bl1-5UQ86n3MrTNOn7bbYE,female,160.5,90.6
z8g60Y6KbwOUy4E9IISAHFzScXC51KTI7rzdiJ7bcek,female,154.0,86.2
y7hSR5UpX8vKoYm6nR5r0qusD8pl-sTK-O7owV0VIPM,female,163.9,92.5
WsV_q-4hgeDa4aT-Gelcn-TsU3zBZ4KIpk_aHZAG8aI,female,169.5,95.8
59bc275c681516389ccf4198,female,167.0,94.0
KkcKYV7B1vYaAU3rhnwuJURVMpt_DsVVfOjKhQWyIUY,female,162.1,90.6
MY3CwjtZZyuG5LA3zEnBVMp4G0PiQJo5xyLOZQ2OsO0,female,165.0,92.5
W81GbQDdBYQMT5l7mDPGD9UkM1szFi6brOnMm0QZT18,female,161.5,90.1
99p9fJq9dc9r49WjqJ6wJmYIh5NpRDNjjliIKhN2nFY,female,163.3,91.3
uAOOOjHPJ3RXlBmGW_om8GdJtFFic0Iz8IdGGMtit7w,female,156.6,86.0
fLxvU_dTtBOzidz7xh99ICzTaz4wuNFk0oLjCZ8HedA,female,155.6,85.2
QjI7V3xOO1AI6u5KD4WeyvLAaS_pr4ZsGG6xDhzHRpY,female,160.0,88.1
vP1Sh-jJNg7AjHabR7sf1WRlUEiFa-Gke4hTuQkzhmQ,female,162.0,89.3
-EujjqWPZ_L0NO_RqgxJ79mA23Tjj33cYAoFaysL4I0,female,154.1,83.7
FmgyxUyfXZdhV2BlpOlISUa68okBmPEVJi6Ny8eqygk,female,169.35,93.7
IiFA9usnpMOtdgyH3Hw-V13AzQoibMlu8lGGE61x3ng,female,158.65,86.2
zds1X5WYB1qKkZepOtxgzod7uPtX-dghjHUf5GGazOU,female,169.5,93.2
Ln93h-QpBiCetrCjogBLV0szB4r9JwHItcq7dAbq8Qw,female,154.5,82.9
59bc275d681516389ccf41e4,female,162.2,87.8
uS4Nlsd6VQjC_MbPDR76MiYZCfgKQsrZG_UwbKzH20A,female,172.0,94.1
59bc275c681516389ccf41a4,female,168.05,90.8
z0o7aFFYBEOC_-IjkRmJDhQhXZMvQnU-KGDfHH61XKc,female,164.3,88.2
72e6xpPgFKeAYYBN_LHxJRrZcwx9fD4-ixWA5ZZw9zs,female,158.65,84.35
JNvYCjFCVizUSPlVWEiT5RvXAV3AcfPFkpa01Y_3DMQ,female,173.0,93.6
59bc275d681516389ccf41f6,female,159.5,84.5
9Dd6Dz9YjZ4Ch6cyA4fFjjy4uY9HzV_CpAIbhDicJzc,female,157.5,82.9
by41W0nzxt4Gf5nAI9Z0Tn6nAkLxmqj1XMQ8thKuxHU,female,165.5,88.2
730fN81DLQtgxZ5K4FpOgJUOCAIgg9I1bVhmIXOQgmA,female,171.2,91.9
RtKCT7Vv4B2-hjY1uFTiLCA4OBe30BT7_rgFeDPrxq4,female,171.0,91.6
GZz1_lA8IKwVLSHb5fZCKDqucfDREPVT6ljopD4SUtY,female,155.1,80.9
7bFe7VxhOBSMEBgASPgM3QkOFW6-cFMHDHydK-nTdDU,female,165.65,87.95
59bc275d681516389ccf4220,female,176.0,94.8
Z-AaC65JmtFlUW8a_nGt5PiDBr-Z0WziwmuQMp0W03k,female,156.75,81.9
tyn9j47LY8cGgO8IP8uP1Vm5Fl6erJ8NlugiCYYaIps,female,165.75,87.75
OpsAHKwX0vH2qhmJul_yqJDkZ6aEfgL7JmQXapmG43k,female,164.5,86.8
JtJm2KmKqA6oCQqOJJKOflI2bLAHwcc6AsP8PmsTqfo,female,168.0,89.0
DAidIHQc5eh1Eo_4g2j6WhWGPXqGaWU050M3TAJKsOo,female,161.85,84.8
59bc275c681516389ccf41bc,female,173.7,92.6
cx7H9JmRginjnpfFsEmrbkaeORyIyI6HnIfHMHDqKKY,female,159.6,82.5
X3IgwE33Fglksdvp53AKTMnTL1txWK09MjhB-g_tOA8,female,171.0,89.9
9yDE38ljye2XhcQc38xggbv64HwXDSbDkh5bb3lMNkU,female,164.4,28.7
59bc2758681516389ccf4077,female,167.95,87.45
nZUlJ3oSfVH51kquU28D-F9NwL3UjnLsxtsY2y6qXts,female,164.5,84.9
ZfXnpj9JymrEXySC2mXmPwiAf6u_Vlmu260kJ2iI5Bc,female,155.5,78.8
uc-v1U8HMj6nz2aVav24MAHM1D6plrOqyrGqpU7EfTs,female,176.1,92.2
DDliBRlYFBCyG-UjlAVLiDG4nvRl8nodOUOtLxfu5Us,female,162.0,82.3
jj-ymAlKRw4gwssTUjghlxgUc4OSZPQuaAgrGKJGcQA,female,168.0,86.3
oWFBFFV2dtIyJFBBpNkjkPQ5nQBChrUWbW6wxMrxYWE,female,158.7,79.9
0wvZ5ZeHgraG0oQGr38yR75PmIG9-hXYnUWW0uJqWtE,female,165.0,84.0
WvGQBBNpSe532EEM3AMJdoxUoTyST19JL_SBR2urNRk,female,163.5,82.9
P2napCkrkVITcwLhUfdanIOl4ysctsqjd_4DRNa4dus,female,165.0,83.8
GbOk4JbzF5zpkg24rqvg_gA8BAMUKFen4zBSFPCcQVs,female,176.5,91.4
78aFkOzy-pjbj9lmsp4uyrbotokRlchqTKpxs3K6npU,female,172.2,88.1
LqwmZFz9Zs0XAy0zY8sJEZuwuRFvikqWWqAZangX8fw,female,167.0,84.4
0rGJdyxMb1htbhTkMtbdeGGj8aPapDY8PlclNf3Ofy0,female,160.9,80.15
4gXQA7YvC9wjEAkjxtjYg_1zS4JZ6WaJLbs3nQKKfnY,female,161.1,80.1
s_KuB0FTrJowaJCSsCAvl-4zKP_oPTv3VjKQlyXI1z4,female,162.4,80.95
gFblhzof-gC7PAXXnQ-foacnYnSX9YdOYVOS3h2Anwo,female,161.5,80.1
59bc2764681516389ccf449b,female,168.15,84.5
3ksASfe4f_APd1tLxccDtth3VbpJ9SgIcz5vPw7Y1os,female,165.5,82.7
NTmudVTq3KXZsMxKbzh7FZ_Cwidx_LNAFffrMFwhizk,female,147.5,73.8
59bc275b681516389ccf4111,female,146.2,73.7
W2KMv_S0_4Hsm2X-rx_6MSBFcpHEivib5C4E4eOnBzY,female,165.0,82.1
-CQBOT5zSJk5ZYlZ4cgBP2x4lzzLLdPC6sIbhUHYddI,female,158.0,77.4
QN6awL28K1oOGTfvrs6JaebgAll0DiBRUmVZiVuZx2k,female,160.0,78.5
4d_X7JZm0gneZC8ffiFtMDo1I7gKKmN0V0ER7YrB8pI,female,160.0,78.1
BIgqCAZI0sAs9l6VoYb7f5DEalgi2C2UbnCcl6iXX0U,female,162.0,79.4
Bwo4aB1FVh_V5rDzT7D64XUtIYW0ZjOAy6k67FYdICY,female,164.4,80.9
59bc2762681516389ccf440f,female,161.5,78.95
59bc275e681516389ccf424f,female,175.0,87.8
